time,MAR_land,RACMO_land
2016-10-30,4.997455,2.151055
2016-10-31,5.164221,2.162084
2016-11-01,5.315278,2.153901
2016-11-02,5.459267,2.550340
2016-11-03,5.581012,2.189339
2016-11-04,5.686721,2.176261
2016-11-05,5.776870,2.180769
2016-11-06,6.062879,4.047606
2016-11-07,5.925335,2.508385
2016-11-08,6.023443,2.758184
2016-11-09,6.041435,2.341863
2016-11-10,6.078582,2.315177
2016-11-11,6.101214,2.301215
2016-11-12,6.126156,3.694207
2016-11-13,6.139907,2.195180
2016-11-14,6.149447,2.168423
2016-11-15,6.155011,2.175922
2016-11-16,6.152201,2.186108
2016-11-17,6.154178,2.184120
2016-11-18,6.147312,2.180135
2016-11-19,6.137417,2.186903
2016-11-20,6.123623,2.182744
2016-11-21,6.102303,2.180378
2016-11-22,6.087382,2.169025
2016-11-23,6.066934,2.165067
2016-11-24,6.044167,2.164821
2016-11-25,6.018801,2.144800
2016-11-26,5.987872,2.139572
2016-11-27,5.964378,2.239197
2016-11-28,5.934943,2.130410
2016-11-29,5.904368,2.112085
2016-11-30,5.872875,2.115069
2016-12-01,5.835741,2.096287
2016-12-02,5.806481,2.083777
2016-12-03,5.771823,2.086380
2016-12-04,5.735812,2.069472
2016-12-05,5.698901,2.057864
2016-12-06,5.657145,2.044466
2016-12-07,5.624480,2.033668
2016-12-08,5.587841,2.034243
2016-12-09,5.550828,2.011369
2016-12-10,5.513229,2.004147
2016-12-11,5.471232,2.017723
2016-12-12,5.437383,2.143223
2016-12-13,5.401409,1.976798
2016-12-14,5.365713,2.149445
2016-12-15,5.329643,1.941095
2016-12-16,5.290295,2.001518
2016-12-17,5.258191,1.948109
2016-12-18,5.221711,2.002629
2016-12-19,5.185264,1.897659
2016-12-20,5.148546,1.877696
2016-12-21,5.108249,1.868032
2016-12-22,5.074467,1.849158
2016-12-23,5.037637,1.846419
2016-12-24,5.001703,1.829752
2016-12-25,4.965449,1.817615
2016-12-26,4.927287,1.803509
2016-12-27,4.896892,1.807464
2016-12-28,4.863096,1.785473
2016-12-29,4.829889,1.771142
2016-12-30,4.797464,1.754931
2016-12-31,4.765150,1.743917
2017-01-01,4.944365,1.733205
2017-01-02,4.906668,1.718099
2017-01-03,4.865705,1.707549
2017-01-04,4.826318,1.685208
2017-01-05,4.788636,1.695920
2017-01-06,4.747896,1.665324
2017-01-07,4.716020,1.649803
2017-01-08,4.681762,1.653052
2017-01-09,4.647939,1.630687
2017-01-10,4.614517,1.615305
2017-01-11,4.578330,1.604947
2017-01-12,4.549004,1.597269
2017-01-13,4.516917,1.584336
2017-01-14,4.485134,1.567249
2017-01-15,4.453060,1.564275
2017-01-16,4.417752,1.537599
2017-01-17,4.388668,1.538327
2017-01-18,4.356910,1.519970
2017-01-19,4.325928,1.502159
2017-01-20,4.295613,1.493247
2017-01-21,4.263024,1.486061
