index,id,coast_id,coast_lat,coast_lon,coast_x,coast_y,domain,elev,lat,lon,upstream,x,y
195,137938,-1,,,-1,-1,land,5,64.398,-40.376,False,227250,-2809450
196,137982,-1,,,-1,-1,land,7,64.391,-40.387,False,226750,-2810250
197,138039,-1,,,-1,-1,land,3,64.380,-40.357,False,228350,-2811450
198,71725,131674,65.154,-41.088,186450,-2726450,ice,-383,65.154,-41.088,False,186450,-2726450
199,71730,131674,65.154,-41.088,186450,-2726450,ice,-377,65.150,-41.082,False,186750,-2726850
200,71731,131703,65.149,-41.124,184750,-2727050,ice,-294,65.149,-41.124,False,184750,-2727050
201,71744,131751,65.142,-41.142,183950,-2727950,ice,-1,65.142,-41.142,False,183950,-2727950
202,71759,131825,65.134,-41.156,183350,-2728950,ice,-1,65.132,-41.159,False,183250,-2729150
203,71765,131869,65.128,-41.155,183450,-2729550,ice,10,65.128,-41.157,False,183350,-2729550
204,71768,131883,65.124,-41.063,187850,-2729750,ice,151,65.123,-41.051,False,188450,-2729750
205,71775,131931,65.114,-40.853,197950,-2730150,ice,242,65.116,-40.874,False,196950,-2730050
206,71776,131931,65.114,-40.853,197950,-2730150,ice,12,65.115,-40.855,False,197850,-2730050
207,71788,131972,65.120,-41.142,184150,-2730450,ice,264,65.119,-41.152,False,183650,-2730550
208,71806,132106,65.104,-41.016,190250,-2731850,ice,130,65.105,-41.010,False,190550,-2731650
209,71817,132205,65.095,-40.961,192950,-2732650,ice,-1,65.095,-40.953,False,193350,-2732650
210,71823,132223,65.093,-40.926,194650,-2732750,ice,11,65.093,-40.926,False,194650,-2732750
211,71828,132251,65.096,-41.124,185150,-2733050,ice,-1,65.096,-41.124,False,185150,-2733050
212,71848,132343,65.088,-41.107,186050,-2733950,ice,284,65.083,-41.120,False,185450,-2734550
213,71853,132489,65.078,-41.111,185950,-2735050,ice,206,65.078,-41.111,False,185950,-2735050
214,71861,132821,65.054,-41.064,188350,-2737650,ice,87,65.057,-41.060,False,188550,-2737250
215,71864,132821,65.054,-41.064,188350,-2737650,ice,-1,65.054,-41.064,False,188350,-2737650
216,71866,-1,,,-1,-1,ice,-1,65.053,-41.060,False,188550,-2737750
217,71872,132918,65.048,-41.057,188750,-2738350,ice,35,65.047,-41.057,False,188750,-2738450
218,71874,132992,65.042,-41.049,189150,-2738950,ice,0,65.044,-41.051,False,189050,-2738750
219,71880,132992,65.042,-41.049,189150,-2738950,ice,127,65.040,-41.060,False,188650,-2739250
220,71890,133172,65.021,-41.009,191250,-2741150,ice,264,65.017,-41.031,False,190250,-2741750
221,71892,133240,65.014,-41.004,191550,-2741950,ice,353,65.009,-41.034,False,190150,-2742650
222,71896,133398,64.999,-41.013,191250,-2743750,ice,-1,64.999,-41.013,False,191250,-2743750
223,71897,-1,,,-1,-1,ice,-1,64.998,-40.998,False,191950,-2743750
224,71901,133426,64.995,-41.011,191350,-2744150,ice,161,64.994,-41.009,False,191450,-2744250
225,71903,133426,64.995,-41.011,191350,-2744150,ice,305,64.993,-41.018,False,191050,-2744450
226,71905,133484,64.991,-41.158,184350,-2745050,ice,-423,64.991,-41.158,False,184350,-2745050
227,71907,133492,64.989,-41.123,186050,-2745150,ice,64,64.989,-41.119,False,186250,-2745150
228,71911,133523,64.988,-41.163,184150,-2745450,ice,-432,64.988,-41.163,False,184150,-2745450
229,71913,133549,64.984,-41.111,186650,-2745750,ice,126,64.984,-41.101,False,187150,-2745650
230,71915,133591,64.979,-41.085,187950,-2746150,ice,-1,64.979,-41.085,False,187950,-2746150
231,71918,133646,64.976,-41.171,183850,-2746850,ice,-372,64.976,-41.171,False,183850,-2746850
232,71920,133654,64.971,-41.042,190050,-2746950,ice,2,64.971,-41.042,False,190050,-2746950
233,71930,133770,64.962,-41.175,183750,-2748450,ice,-206,64.962,-41.175,False,183750,-2748450
234,71939,133843,64.953,-41.179,183650,-2749450,ice,-143,64.953,-41.179,False,183650,-2749450
235,71945,133896,64.946,-41.165,184350,-2750150,ice,-30,64.946,-41.165,False,184350,-2750150
236,71952,133898,64.934,-40.755,204150,-2750150,ice,45,64.931,-40.757,False,204050,-2750550
237,71954,133930,64.931,-40.789,202550,-2750650,ice,13,64.930,-40.787,False,202650,-2750750
238,71956,133947,64.929,-40.816,201250,-2750950,ice,-3,64.929,-40.816,False,201250,-2750950
239,71960,133977,64.920,-40.713,206250,-2751550,ice,10,64.920,-40.713,False,206250,-2751550
